광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,9.295683021E9,1.2651878804E10,-26.5
부산광역시,2.503393205E9,3.231025903E9,-22.5
대구광역시,1.377417514E9,1.77131496E9,-22.2
인천광역시,1.49596175E9,2.163958916E9,-30.9
광주광역시,8.08400637E8,9.87219413E8,-18.1
대전광역시,9.63188543E8,1.34296652E9,-28.3
울산광역시,4.88142066E8,5.89507791E8,-17.2
세종특별자치시,8.8046497E7,9.6428595E7,-8.7
경기도,7.86404469E9,9.027829686E9,-12.9
강원도,1.087017848E9,1.217194404E9,-10.7
충청북도,8.84887129E8,1.008055447E9,-12.2
충청남도,9.7565501E8,1.155410112E9,-15.6
전라북도,7.21675988E8,8.69080009E8,-17.0
전라남도,7.98699949E8,8.64242394E8,-7.6
경상북도,1.0310037E9,1.226572977E9,-15.9
경상남도,1.339948616E9,1.543458928E9,-13.2
제주특별자치도,8.1158415E8,9.45481016E8,-14.2
