대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.204322001E9,44.0,3637259.0,0.3
쇼핑업,대형쇼핑몰,1.204322001E9,44.0,1.096029012E9,91.0
쇼핑업,레저용품쇼핑,1.204322001E9,44.0,1.02039405E8,8.5
쇼핑업,면세점,1.204322001E9,44.0,2616324.0,0.2
숙박업,기타숙박,1.17746046E8,4.3,5.0408799E7,42.8
숙박업,캠핑장/펜션,1.17746046E8,4.3,136239.0,0.1
숙박업,콘도,1.17746046E8,4.3,6491240.0,5.5
숙박업,호텔,1.17746046E8,4.3,6.0709768E7,51.6
식음료업,식음료,1.247265603E9,45.6,1.247265603E9,100.0
여가서비스업,골프장,1.08135026E8,4.0,6.5947276E7,61.0
여가서비스업,관광유원시설,1.08135026E8,4.0,8363256.0,7.7
여가서비스업,기타레저,1.08135026E8,4.0,1.9696421E7,18.2
여가서비스업,문화서비스,1.08135026E8,4.0,1.4128074E7,13.1
여행업,여행업,1251261.0,0.0,1251261.0,100.0
운송업,렌터카,5.5749247E7,2.0,1530207.0,2.7
운송업,수상운송,5.5749247E7,2.0,2597595.0,4.7
운송업,육상운송,5.5749247E7,2.0,132716.0,0.2
운송업,항공운송,5.5749247E7,2.0,5.148873E7,92.4
